Id,Database_Mnemonic,Variable_Mnemonic,Version,Lowest_Geog_Variable_Flag,Classification_Mnemonic
1,Teaching-Dataset,Region,1,Y,
2,Teaching-Dataset,Country,1,,
3,Teaching-Dataset,Residence Type,1,,
4,Teaching-Dataset,Family Composition,1,,
5,Teaching-Dataset,Population Base,1,,
6,Teaching-Dataset,Sex,1,,
7,Teaching-Dataset,Age,1,,
8,Teaching-Dataset,Marital Status,1,,
9,Teaching-Dataset,Student,1,,
10,Teaching-Dataset,Country of Birth,1,,
11,Teaching-Dataset,Health,1,,
12,Teaching-Dataset,Ethnic Group,1,,
13,Teaching-Dataset,Religion,1,,
14,Teaching-Dataset,Economic Activity,1,,
15,Teaching-Dataset,Occupation,1,,
16,Teaching-Dataset,Industry,1,,
17,Teaching-Dataset,Hours worked per week,1,,
18,Teaching-Dataset,Approximated Social Grade,1,,
